CITY,ZIPCODE,shape_wkt,POINT_X,POINT_Y
Dorchester,2125,POINT (-71.05976917199996 42.313678947000028),-71.05976917199996,42.31367894700002
Dorchester,2124,POINT (-71.086839729999951 42.282112287000075),-71.08683972999995,42.28211228700008
Dorchester,2121,POINT (-71.080661422999981 42.296551453000063),-71.08066142299998,42.29655145300006
Dorchester,2121,POINT (-71.081624640999962 42.306810098000028),-71.08162464099996,42.30681009800002
Dorchester,2125,POINT (-71.042739999999981 42.317620000000034),-71.04273999999998,42.31762000000003
Dorchester,2125,POINT (-71.043499998999948 42.318020000000047),-71.04349999899995,42.31802000000005
South Boston,2127,POINT (-71.052150634999975 42.338017224000055),-71.05215063499998,42.338017224000055
Hyde Park,2136,POINT (-71.132879999999943 42.233890000000031),-71.13287999999993,42.23389000000003
East Boston,2128,POINT (-71.005044500999986 42.391607498000042),-71.00504450099999,42.39160749800004
Jamaica Plain,2130,POINT (-71.106910085999971 42.325613458000078),-71.10691008599997,42.32561345800008
Mattapan,2126,POINT (-71.091890000999967 42.271779999000046),-71.09189000099997,42.271779999000046
Roxbury,2119,POINT (-71.099290000999986 42.314120000000059),-71.09929000099999,42.31412000000006
Dorchester,2124,POINT (-71.076790862999985 42.287783495000042),-71.07679086299999,42.28778349500004
Jamaica Plain,2130,POINT (-71.113866835999943 42.307026492000034),-71.11386683599994,42.307026492000034
Jamaica Plain,2130,POINT (-71.114481578999971 42.30719963100006),-71.11448157899997,42.30719963100007
Roxbury,2119,POINT (-71.073373068999956 42.321918807000031),-71.07337306899996,42.32191880700003
Jamaica Plain,2115,POINT (-71.106563059999985 42.333922759000075),-71.10656305999998,42.33392275900008
Hyde Park,2136,POINT (-71.117885460999958 42.263219244000027),-71.11788546099996,42.26321924400003
Boston,2109,POINT (-71.057175579999978 42.368326551000052),-71.05717557999998,42.368326551000045
Roxbury,2119,POINT (-71.092028970999934 42.317651525000031),-71.09202897099993,42.31765152500003
East Boston,2128,POINT (-71.037939496999968 42.371559760000025),-71.03793949699997,42.371559760000025
Boston,2116,POINT (-71.068148942999983 42.348761039000067),-71.06814894299998,42.348761039000074
Dorchester,2122,POINT (-71.061820573999967 42.300812669000038),-71.06182057399997,42.30081266900004
Brighton,2135,POINT (-71.145960439999953 42.350432056000045),-71.14596043999995,42.350432056000045
Dorchester,2121,POINT (-71.080807110999956 42.307386505000068),-71.08080711099996,42.307386505000075
